INPUT:text,OUTPUT:disgust_rage,OUTPUT:fear_surprise,OUTPUT:shame_excitement,OUTPUT:enjoyment_distress,ASSIGNMENT:assignment_id,ASSIGNMENT:worker_id
,,,,,,
"Когда мне было 9, одна крупная сеть магазинов начала раздавать карточки с героями недавно вышедшего мультфильма за покупку товаров по акции. Все дети нашего города стали в один момент каким-то единым организмом. Мне очень стыдно, что мы с подругой часами стояли у магазина и просили у выходящих эти карточки как побирушки. Тогда и в голову не приходило, как это было со стороны. Помню, с какой неприязнью на меня посмотрела мама, когда случайно пошла за сметаной. Так неприятно, хоть и было давно.",-2,0,-4,1,0000c85e32--5eb3d789e3e5141251afef15,240d5b7897f98c119cd892e34295587e
,,,,,,
"Песню, которая стоит у меня на будильнике я слышу чаще, чем песню, которая стоит на звонке. Вот, что на самом деле значит одиночество.",-3,-1,-3,5,0000c85e32--5eb3d78aa92f82201f1957df,d2b0821d7846cd3318f69053cc65c197
,,,,,,
"Лет в шесть мне подарили очень красивую маленькую рамочку с надписью: ""Я не мог пожелать лучшего друга, чем ты!"" Мне девятнадцать. В рамочке до сих пор нет фотографии. Подумываю вставить туда зеркальце.   ",0,1,3,-3,0000c85e32--5eb3d78be62bd04473811f19,9c78569ed1ebe5c3d3e83e78bcec6377
,,,,,,
"В общем, я, в принципе, девушка аккуратная. Но есть родственники, к которым я приду, и что-нибудь случается. Во сне... То я выпила от кашля лекарство и весь День рождения дяди спала, не просыпаясь. То внезапно пришли месячные, и я запачкала всю постель. Но самое ужасное: однажды я проснулась у них и поняла — я во сне обоссалась. Короче, больше я к ним не езжу.",-3,3,-3,1,0000c85e32--5eb3d78c5f25a461ac3ec6c8,b5a5b60300954f344e055e0b02bfe4d9
,,,,,,
"Я выиграла в лотерею. Баснословный выигрыш, я даже не ожидала. О выигрыше узнала две недели назад, но ещё никому об этом не рассказывала. Сначала хотела подуспокоиться, придумать, как лучше преподнести. Потом захотела сделать мужу дорогой подарок, а потом рассказать, откуда деньги. Даже была мысль купить квартиру, сдавать ее и никому об этом не говорить, часть денег отдать больным детям. Столько всего в голове! Я, конечно, мечтала выиграть, но это как снег на голову. И все же, я счастлива! Ура!",0,0,3,-3,0000c85e32--5eb3d78c79c327160bc6e1c7,1ee4063d1d15c112ac128b8e6c4ce4bd
,,,,,,
"Когда училась в универе, на 3 курсе к нам пришел вести одну из дисциплин профессор, который был помешан на теме секса. Всех студентов этот момент жутко нервировал, в том числе и меня. И вот семинар, на котором нам вещает: ""Мальчики, чьи половые органы не вылизывала мама в течение месяца после рождения и девочки, с кем тоже самое не делал папа, вырастают неполноценными людьми, исчадиями ада в плане секса"". И тут мой голос: ""Ваша мама, видимо, Вас не вылизала до конца"". Экзамен я сдала с 4 раза..   #Подслушано_ебанько@overhear",-1,0,0,0,0000c85e32--5eb3d78d19c78e11e0336ee2,7ced74c1885b847a2618b97206402096
,,,,,,
"Люблю кино и кинотеатры, но ненавижу людей, которые там говорят и пинаются. Сходили на фильм, где персонажам нужно было молчать и передвигаться тихо. Весь зал все сразу понял, все молчали. Даже шумных девах позади не было слышно, попкорн все не жевали, а рассасывали. В зале тишина, мы даже слышали, что за дверьми. Кроме парочки с девушкой-дурой, которой парень объяснял все, что происходит. Она тупила и спорила, что он не так понял, и шуршала какой-то безумной упаковкой попкорна в ее рост. Когда парень отвинтил крышку бутылки, я думала, что пора дать им в челюсть.",4,0,0,0,0000c85e32--5eb3d78d9d547c19e825c60a,ae71dad8da578d7971bc8eaec42fbb56
,,,,,,
"Познакомилась с мужчиной. Все шикарно: цветы, духи, рестораны, просто образец галантности и щедрости. Через недельку дошло дело до секса, а у него не стоит. Вообще никак. Хоть карандаши привязывай и заноси на носилках. После получаса моих мучений, мой кавалер признается, что у него необычные пристрастия. За пять секунд перебрав в уме все известные извращения, интересуюсь, что мне нужно сделать. ""Покакать в рот, тогда встанет"". Когда я от него драпала, думала только о том, что он меня целовал...   ",-3,5,-3,0,0000c85e32--5eb3d78dd6e49d2d24e96f05,e9e92f622b8c09f53244ff4c0ab13894
,,,,,,
"у меня дома парализованная после инсульта бабушка, стерилизованная два дня назад кошка и мама после операции на глаза. а я то детей заводить боялась -_-",0,0,0,0,0000c85e32--5eb3d78e5d5a0644ae637002,36a13d3e5e8521e9f78eddc7c44f2f43
,,,,,,
"Я патологоанатом в крупной больнице, и меня бесят люди, которые считают, что каждый день я вскрываю трупы с целью установить причину смерти. В основном мы исследуем ткани и другой биоматериал, и никого мы не вскрываем! Никаких убитых младенцев и изнасилованных женщин. Этим занимаются судмедэксперты, да и то, слава Богу, нечасто! Да, после работы мы все приходим домой и готовим ужин для семьи, и гладим мужьям рубашки. Форму нам стирают в прачечной больницы, а руки мы моем! И ни я, ни мои коллеги никогда не едим над трупами!",4,0,0,4,0000c85e32--5eb3d790412ae01437df8292,5873bdc34ca595ed174aa140c6aa7a7b
,,,,,,
"Мне 28. Я одна уже 6 лет! 6 гребаных лет! Добилась головокружительной карьеры, но на этом все! Родители бредят о внуках, а я им вру, что скоро познакомлю со своим мужчиной, с которым я так счастлива. Сижу читаю объявления, выбираю мужчину на час, чтобы показать его родителям, я просто не могу их расстраивать... Это пипец!",2,-2,-4,4,0000c85e32--5eb3d791ad6cd70e3e49c649,68338592de5cfe591d503a05e1a72e58
,,,,,,
"В классе восьмом разбил ""Москвич"" дедушки. Не просто разбил, а прям смачно, в сосну. До сих пор удивляюсь, как я выжил. Вышел из машины сам без единой царапины. А машина и дерево были не в самом лучшем виде. Дед сразу после аварии подбежал ко мне и расспрашивал, всё ли со мной в порядке. Между деревом и машиной ему было больше жаль дерево. Ведь эта была почти столетняя сосна, которую посадил его отец. До сих пор стыдно за то, что одним махом разнёс память о прадеде.   ",0,-2,-5,3,0000c85e32--5eb3d791c6aa5d4e067dd358,b16c87534bd98f05f39dcce27e858cf2
,,,,,,
"Я художник, с детства мечтала им стать. И как ж бесят мои родственники. Раньше они всячески пытались забрать у меня карандаши, бумагу,  мол ""Всякими каракулями сыт не будешь"". А теперь они мало того, что просят в долг, так еще и хотят,  чтобы я их нарисовала. Мрази.   ",-4,0,2,0,0000c85e32--5eb3d7929d547c19e825c64a,f4972af8470176a62dfe65c6c6df41d4
,,,,,,
"В детстве строила шалашик под маленьким столом, размещала внутри настольную лампу, обвешивала все пледами и ела там пачками овсяное печенье. И мне было счастливо!)",0,0,1,4,0000c85e32--5eb3d79472bb8f4708641d76,409daf8d859ef4b781a829f9a4d0c462
,,,,,,
"Сложно мне с девушками. Мне их поиск напоминает поиск ракушек на пляже. То поломанная, то грязная, таких полно. А найдешь вроде красивую, но она либо воняет, либо занята каким-нибудь более успешным рачком с усиками. А так, чтобы красивая, не воняет и без всяких рачков, таких надо долго искать...",-2,1,0,2,0000c85e32--5eb3d795322c9b08a1b5981f,459658b4b7c2d8900e47d6733511971c
,,,,,,
"Моему другу в детстве мама говорила, что во время дождя с неба сыпятся дождевые черви. Он верил, поэтому никогда не просился гулять в дождливую погоду, а сидел чистенький дома.",0,-1,0,0,0000c85e32--5eb3d796322c9b08a1b59833,342f94fd9692fc40087323822ceabf02
,,,,,,
"Год назад, из-за проблем в семье, ко мне в трешку, которую до этого я делила с бабулей, въехала подруга. Три месяца назад к нам перебрался её парень примерно по той же причине. Месяц назад с вещами приперся лучший друг, который, спустя две ночи в моей постели, стал моим парнем.  Бабуле есть с кем поговорить, парни вкручивают лапочки и чинят ломающуюся технику, трахаемся синхронно, засосы одинаковые у всех четверых, одна коробка презервативов на всех, один вечер мы с подругой смотрим сериал, а в другой парни рубятся в танки, потому что комп один, а телик только у бабули - смотрим по вечерам новости и советские фильмы. Наслаждаемся молодостью. Эти люди - моя семья. Я никогда не была настолько счастлива.    #Подслушано_иллюстрация@overhear",0,1,4,-5,0000c85e32--5eb3d79731beec1d7e927b6a,cc5c0652b26d8bfc48b2b5b43ddee169
,,,,,,
"Бесит, когда жирная тёлка хвастается, что у нее большая грудь! ЭТО ПОТОМУ ЧТО ТЫ ЖИРНАЯ!!! ПОХУДЕЙ Б*ЯТЬ!!! И посмотришь какая у тебя грудь на самом деле!!!",5,0,0,0,0000c85e32--5eb3d7979d547c19e825c67f,13a683240e094f70d433c40e98f24a01
,,,,,,
"Утро, любимый ещё спит, жарю купаты на завтрак. Вдруг припёрло по-большому, решила, что по-быстрому, оставила всё на газу. Сижу на унитазе и понимаю, что халат, в котором я была, одной стороной в унитазе. Матюгнулась, достала, сижу дальше. Закончив, встаю и, ёб твою мать, вся ляжка и халат в говне. Видимо, я насрала на халат, и, когда вставала, всё осталось на мне. Вонь адская, ещё и милый проснулся, тоже в туалет стучится. Прыскаю освежителем, моюсь, халат в стирку. Еще и купаты, блять, сгорели.",-5,0,-2,0,0000c85e32--5eb3d799a1a5776769d8864c,a2ea9b22969b47c92838997b097991ef
,,,,,,
"Развелись с мужем год назад, есть маленький сын. Сразу после развода выяснилось, что у меня неоперабельная опухоль мозга, хотя до этого никаких признаков не было. Никому ничего не говорю и стараюсь меньше времени проводить с сыном, оставляя его под всякими предлогами у бывшего мужа. Он считает меня плохой матерью, которой сын мешает устраивать личную жизнь. А я прихожу домой и плачу; написала сыну письмо в будущее, очень надеюсь, что он вырастет и простит меня.",1,-3,-4,5,0000c85e32--5eb3d79a19c78e11e0336f53,33e30c087269cb352ef843c6a32ab43d
,,,,,,
"В детстве я любила играть с разными тканями. Я закрепляла их на себе заколками каждый раз по-разному и представляла, что это моё новое платье. Мама ругала меня за пустую трату времени и отправляла делать уроки. Но я не оставила своё увлечение. В итоге через несколько лет детская  игра переросла в любимую работу. У меня своё ателье))",0,0,5,-5,0000c85e32--5eb3d79b5367c916b288f6e3,3215da23b0d1279da508e8170a3f9cfd
,,,,,,
"Всегда в маршрутке сажусь на место под названием ""передайте, пожалуйста"". Мне так хочется быть нужной хоть кому-то :(",0,0,5,-5,0000c85e32--5eb3d79b72bb8f4708641dad,72d90216745117a3fc9c24fc58c367a6
,,,,,,
"Лучший друг щеголяет роскошными ""рукавами""-тату на обеих руках по самые плечи. Красивые, яркие драконы. Все завидуют. И только я знаю, что он под ними прячет шрамы от наручников. Его отец после смерти матери съехал по фазе, начал сына-школьника обвинять в гибели жены. Приковывал к батарее и аккуратно избивал, оставлял без еды и воды на выходные, но внешне все нормально было. Говорил, спалит кто - убью насмерть, скажу, пропал без вести. Так жил примерно полгода в этом пиздеце. Открылось случайно - молодой препод на практике заметил, как он болезненно идет к доске, понял, что болит что-то, повел ревущего от ужаса перед отцом к медсестре в школе. Скандал, лишение родительских прав, дет. дом. Помог не свихнуться тот молодой препод. Друг сумел выучиться, стал хорошим электриком. Когда делал паспорт, взял фамилию препода-практиканта и набил рукава, чтобы навсегда избавиться от прошлого. Вот такие вот драконы.   ",2,-1,1,-2,0000c85e32--5eb3d79c79c327160bc6e272,2d31410b98824c8837335a5ce4418369
,,,,,,
"С мужем решили купить квартиру побольше. Ходим, смотрим квартиры. Самое печальное — хозяева этих квартир: чаще всего это бабушки и дедушки, которые остались в хоромах одни. Они с такой любовью показывают детские комнаты, ""вот здесь наш Сашка вырос, вон в ту школу ходил, а детский сад вот он, из окна видно, берите, вы молодые, для детей удобно"". Спрашиваем, а где же ваши дети, ответ один: ""Выросли, нам столько комнат не надо"". Грустно, ведь лет через 20-25 и мы так же будем бесконечно скучать.   ",0,0,0,4,0000c85e32--5eb3d79cedd44f68e5c926f7,e0c3487ef8ba06f7bdcaa3aad827d1ee
,,,,,,
"Заводить собаку от одиночества -последняя инстанция. Я знаю. Кто не поймет -тот будет ржать, крутя корявым пальцем у виска. Я не в обиде, что с них взять. А мне спасение. Человек должен о ком-то заботиться, дарить свою любовь, делиться переживаниями и радость разделять.",1,-1,-2,4,0000c85e32--5eb3d79d19c78e11e0336f68,cf401c4df6655432a4613887a3971baa
,,,,,,
"Получив свою первую зарплату - мои знакомые покупали себе что-то запоминающееся. Я же, имея старшего брата, должна была с ним всегда делиться, поэтому с первой зарплаты я купила себе огромную пиццу и почти всю съела одна! Это был такой неописуемый момент счастья и самоудовлетворения, что спустя 7 лет я до сих пор помню тот день :)",0,0,5,-5,0000c85e32--5eb3d79d2fb9dc214baa1b35,c1fbf86ca7d8320295a465e5cd279336
,,,,,,
"У меня есть хобби, я собираю книги, которые люди по какой-то причине выбросили. Чаще всего я нахожу их в подъезде, всегда забираю их себе. Так  недавно я узнала, что стоимость одной из найденных мною книг превышает 100 к!",-5,3,-3,-3,0000c85e32--5eb3d79e5367c916b288f705,c9be5da9400df34c77aeb0e548ccdfa2
,,,,,,
"За окном дождь, гром, молния. Кошка трясётся от страха, мне тоже не по себе. Беру её на руки, подходим к окну. Мы жили на первом этаже, прям под окном был козырёк подъезда. Стоим, смотрим вместе с кисой на дождь, я её глажу и успокаиваю: ""Смотри, это совсем не страшно и даже красиво"". И в этот момент на козырёк, прям перед нашим окном, падает пакет с чьей-то блевотиной и лопается. Больше на дождь мы не смотрим.   ",-4,-3,0,0,0000c85e32--5eb3d79eedd44f68e5c92717,25eb424c3972b5d83882d56ade99ee51
,,,,,,
"Знакомая пользуется зубной щеткой «на один зуб» без зубной пасты и прочих средств гигиены. Почистив, съедает весь счищенный налёт, который она бережно хранит месяцами. Щетку использует уже два года и ни разу не мыла.",-3,0,0,0,0000c85e32--5eb3d79fd6e49d2d24e9700a,3abac00461fd5927815b9a329598f015
,,,,,,
"В 10 лет стала свидетелем побоев и изнасилования. Бежала от подружки домой, задумалась и свернула не в тот проулок, а там был тупик. Трое парней били и насиловали девушку (постарше когда стала, поняла это, тогда я про секс вообще ничего не знала). Меня увидели и пригрозили, что изобьют и убьют потом, если кому расскажу или позову. Я в ужасе убежала и никому ничего не сказала. Не прощу себе этого никогда.",3,-3,-2,2,0000c85e32--5eb3d7a119c78e11e0336f83,40c82cdc2c6685848f8f032e69527b44
,,,,,,
"Каждый вечер прихожу в огромную квартиру в центре города, имея абсолютно всё и не желая ничего. Весь вечер просто лежу и смотрю в окно, даже книгу открыть не хочу. Муж приходит около полуночи, развивает свой бизнес, общаемся по сути только по выходным, и так хочется просто по-человечески поговорить обо всём с кем-то на скамеечке во дворе с пивом. Прямо, как в молодости. Однажды приходит понимание, что деньги и их количество перестают приносить счастье — одиночество за них не продашь всё равно.",-1,0,0,5,0000c85e32--5eb3d7a131beec1d7e927bce,3f96d8565ea178164d9e1d19310f888e
,,,,,,
"Ненавижу маленькие маршрутки, потому что я девушка достаточно высокая и постоянно набиваю шишки на голове. Один раз еду вся такая красивая на учёбу, первая попавшаяся маршрутка была как раз маленькая, выбора не было, пришлось садиться. Ехала стоя, билась головой, меня шатало из стороны в сторону, потому что не как не могла ухватиться за что-нибудь. И вот парень, который сидел напротив меня, улыбнулся и спросил, какой у меня рост. Я не поняла к чему этот вопрос, но всё равно ответила, он усмехнулся и предложил сесть на своё место, я поблагодарила и воспользовалась его добротой. Когда он встал, я увидела что он далеко не маленького роста и мне стало так стыдно, что я заставила его стоять в три погибели, что хотела выйти не на своей остановке. Но тут он сел в позе ""аля гопник"" и обаятельно улыбнулся мне, Мы с ним два года, как неразлучные друзья)   ",0,1,4,-5,0000c85e32--5eb3d7a1d6e49d2d24e97021,37deef35676459b23ab8938591b87eb8
,,,,,,
"Называю свою квартиру ""Бастионом одиночества"".",0,0,0,1,0000c85e32--5eb3d7a22fb9dc214baa1b46,9536eeb596b0fe224b4109bcf75a3f25
,,,,,,
"Будучи студенткой юрфака, была ""постоянной"" понятой у одной группы оперативников. Таких мужчин я раньше не встречала. Чувствовала себя принцессой, окруженной рыцарями. Умные, смелые, галантные, с хорошим чувством юмора. Всегда привезут-отвезут, постоянно открывали передо мной двери, кормили вкусняшками, в долгих поездках никогда не давали скучать, запомнили, что я люблю только чай, и делали для меня только его, и многое другое. Причем так себя вели не только они, но и практически все сотрудники, с которыми я общалась. Последний случай, когда мы поехали на обыск, а один из задержанных толкнул меня со всей силы, и я нехило приложилась головой об стену. Такой заботы, внимания я никогда в жизни не получала. Они обращались со мной, будто я была хрустальная. А потом я вернулась домой, где на диване в трусах лежал муж, уткнувшись в комп, и как обычно потягивая пиво. К мужу, которому все равно: болит что-то у меня или нет, который ни разу не открыл передо мной дверь, который не может запомнить, что я люблю чай. И поняла, что не там я мужа искала! Ох, не там! Ждите меня, мои верные рыцари, я свободна!   ",0,0,0,0,0000c85e32--5eb3d7a35f25a461ac3ec7c6,342f94fd9692fc40087323822ceabf02
,,,,,,
"Второй день за рулем. Еду, обливаясь потом от страха, из соседнего магазина домой. Тормозит мент - четко по встречке ехала - он мне, типа, тыры-пыры, лишение, а денег в кошельке пятнадцать рублей осталось. Я как разревусь, а он с перепугу об мои права палец порезал. И знаете чем я откупилась? ВЛАЖНОЙ САЛФЕТКОЙ И ПЛАСТЫРЕМ. За встречку. Вывод: не тот козёл, кто мент, а тот козёл, кто козёл.",0,2,0,0,0000c85e32--5eb3d7a3a92f82201f195964,836c0323a9676829535a0f00403ef2a7
,,,,,,
"Я не красавица, обладательница достаточно заурядного интеллекта, здоровье тоже не ахти. Считаю, что при рождении все очки опыта ""раскидала"" на удачу, притом, достаточно специфическую. Мне категорически везёт... на рыбные консервы. Сколько раз слышала истории о том, что людям в банках попадались хвосты, плавники и даже зубы — мне никогда. Даже в самых дешёвых консервах, купленных впервые, минимум костей и нежное филе. Особенно радуюсь, встречая в банке знатный кусок икры. Для меня это просто джекпот. Надо ли говорить, как я обожаю рыбу)   ",0,0,0,-3,0000c85e32--5eb3d7a3e3e5141251aff0af,257326f3444f5f0ca3c4bf994cf9b6e9
,,,,,,
"Есть знакомая, ей под 50 лет, всегда была толстая, запустила себя, сало висит. Жаловалась, что муж перед сексом смотрит порно, чтобы ""встал"". Но фишка в том, что проблему она видит не в себе, а в нем. Типа, у него по мужской части проблемы, а не оттого, что жена давно не возбуждает.   ",-2,0,0,0,0000c85e32--5eb3d7a43bab1300224758e5,989a67d6bc89e20c0df74e863ee6e324
,,,,,,
"Я четвёртый месяц живу одна в другой стране. Переехала сюда спонтанно и ради образования, но именно сегодня вдруг поняла одну вещь. Мои друзья позвонили мне в чат, и мы долго с ними разговаривали, смеялись. Но, когда все пошли спать, я вдруг поняла, что я не просто одна в квартире, я одна во всей стране. Нет такого человека, который мог бы приехать ко мне или к которому я бы могла приехать, дабы спастись от одиночества. Его просто нет. Я одна. И мне очень страшно.",0,0,0,2,0000c85e32--5eb3d7a45d5a0644ae63713e,36a13d3e5e8521e9f78eddc7c44f2f43
,,,,,,
"каждый раз, когда я не беру трубку или отключаю телефон из-за звонящего мне ухажера, слышу писк котенка, который родился, чтобы разбавить мои одинокие вечера. но все равно не беру трубку",0,-2,-2,2,0000c85e32--5eb3d7a4a92f82201f195984,e9a280b93c396dc3eb58d547412ff043
,,,,,,
"Ни для кого не секрет, что студенты - бесплатная рабская сила. Нас заставляли убирать постоянно (субботники и плюс раз в месяц уборка аудиторий). В свои выходные, после занятий, до занятий, вместо - это изматывало. Отказ - проблемы с деканатом. Финишем стала уборка территории универа, которая по документам - спортплощадка, а по факту - загородный домик ректора. И все об этом знают. А кому жаловаться? Куда деваться? Бесит!",5,0,0,0,0000c85e32--5eb3d7a531beec1d7e927bde,fc7d7ee0f889e56821389cc5ab69e305
,,,,,,
"Всегда была пухленькой. За последние четыре года сбросила около 20 килограмм и сегодня ко мне впервые подошел познакомиться парень на улице! Теперь я понимаю, что все было не зря!)",0,0,4,-4,0000c85e32--5eb3d7a705a3811e334a5566,5873bdc34ca595ed174aa140c6aa7a7b
,,,,,,
"Когда я была маленькой и не хотела идти в сад, в мою маленькую голову пришла хорошая, на тот момент, идея — поесть снега с подругой, чтобы заболеть. Только вот незадача: подруга-то заболела, а я — нет. С горем, придя домой, я замечаю на телевизоре программу о мальчике, который наглотался таблеток и чуть не умер. И я решила съесть снотворного. Полбаночки ушло в меня. Потом все смутно помню: плач мамы, маты, кровать. Очнулась с головной болью через 2, 5 месяца.",0,1,0,-5,0000c85e32--5eb3d7a84e41c300b299fa2b,342f94fd9692fc40087323822ceabf02
,,,,,,
"Работаю в очень известном заведении, бармейд, отлично выгляжу, общительная, начитанная, начальство, подчиненные, гости восхищаются мной, поклонников много (с работы, естественно). Но стоит мне выйти с работы, превращаюсь в абсолютного мизантропа. Отвергаю все свидания. Сижу дома, пью и смотрю фильмы, сериалы. Любое общение вне работы отвергаю. Мне уже 27. Ни разу не было серьезных отношений. Мне одиноко и страшно. Очень одиноко.",0,-3,-1,3,0000c85e32--5eb3d7a8b605c5126a5da050,02af42f8c11a00a2f3ca3762cae1a0b9
,,,,,,
"Самый большой позор в жизни, когда в пятом классе пришел участковый в класс и спросил: ""Кто самый проблемный в классе?"" и весь класс показал на двоечника и на меня. Все потому что когда он меня за волосы в первый день в школе протащил по всему классу (как оказалось позже - любил) я вместо слёз, отряхнулась и отпиздила его так, что меня разнимали три преподавателя, а я орала:""Зарою падла, землю жрать будешь!"".   ",5,0,-5,0,0000c85e32--5eb3d7a93bab130022475917,d2b0821d7846cd3318f69053cc65c197
,,,,,,
"1982 умер отец (сбила машина)1990 умерла мама (рак)2007 умер брат (зарезали)2015 умер второй брат(падение с высоты) сегодня хороню...А все мои знакомые, друзья, и коллеги говорят что я самый позитивный человек из всех кого они встречали...А я сижу и думаю.... может мне в театральный надо было поступать?",0,0,0,3,0000c85e32--5eb3d7a9498866105fbeb301,1ee4063d1d15c112ac128b8e6c4ce4bd
,,,,,,
"Я обладательница яркой и эффектной внешности, которую постоянно поддерживаю процедурами, диетами и спортом. С 18 лет начала спать с богатыми папиками и тянуть с них деньги, квартиры и машины. Большую часть денег инвестировала в бизнес-проекты, как итог — уже к 26 годам я имею свой бизнес, приносящий мне стабильный и высокий доход, живу в центре Москвы и успела выучить два языка. Пусть даже в нашем обществе меня назовут меркантильной шлюхой, мне совсем не стыдно.",0,0,5,-5,0000c85e32--5eb3d7a972bb8f4708641e40,931c5276fe0e7eca912d4811640ceaf5
,,,,,,
"Из-за вот таких ""добрых"" молодых преподов, которые спрашивают на экзаменах всякую фигню,  я не окончила вуз. Потому что на 3 (!) экзаменах по разным предметам мне попались ""счастливые"" билеты. Вот только я не смотрю сериалы и кино уже много лет, вообще. Нет, я не видела властелина колец, я не знаю, кто играл леголаса. Да, любимого персонажа игры престолов у меня тоже нет.  А на то, что я знаю предмет, всем на*рать. Хотите сделать счастливый билет? Спросите, какое у человека любимое блюдо. Или цвет. Или как его фамилия. А то БЕСИТЕ.    ",4,2,0,2,0000c85e32--5eb3d7a9ca9bec528e54dc90,ecc714a136a31591b9dfea24b12505a2
,,,,,,
"Взяла три кредита и не отдавала. Думала, вот-вот оплачу полностью, закрою. За это время встретила парня из хорошей семьи, влюбились, поженились. Не знал о моих долгах, а я создавала вид успешной фифы. Пока его семье не позвонили коллекторы, ища меня. И семья мужа заплатила за меня все кредиты. Вроде радоваться надо, но ебаный стыд, как же неловко...",1,1,-1,1,0000c85e32--5eb3d7aa9d547c19e825c7a2,d91799efa2723f09eeb1609cccb86a9a
,,,,,,
"Еду в маршрутке. Выходит парень на остановке, даёт водителю деньги. Водитель спрашивает: — Сколько? Парень: — Один. И очень грустным голосом добавляет: — Совсем один...",0,0,-1,5,0000c85e32--5eb3d7ab79c327160bc6e30c,9c78569ed1ebe5c3d3e83e78bcec6377
,,,,,,
"Живу одна. Сегодня ночью стало плохо, так что даже телефон не могла разблокировать. Мне впервые было так страшно, так обидно. Мне 25. Мне никто воды не принесет. А вы про старость",1,-5,-2,5,0000c85e32--5eb3d7abedd44f68e5c92796,84ffa3920251aca95d0bb8ff48a3ca73
,,,,,,
"С детства хотела пышную и красивую свадьбу. Жених был не против. Чтобы родители не навязывали свои хотелки, мы взяли кредит, чтобы сделать всё по нашему (моему) желанию. Лучший тамада, фото, видео, вкусная еда, наряды — всё за наши деньги. Позвали всех друзей и недальних родственников, больше 80 гостей, для всех ночлег. Всё было волшебно, всё по плану, все в восторге. Про подаренные деньги даже не думали. И очень удивились, когда свадьба окупилась, хватило ещё на путешествие и ништяки.",0,4,4,-4,0000c85e32--5eb3d7ac05a3811e334a55bb,68338592de5cfe591d503a05e1a72e58
,,,,,,
"Однажды у подруги в гостях прожгли новый светло-бежевый ковёр (уголёк упал с кальяна). Два часа ночи, мама спит в соседней комнате, дырища на новом ковре, за которую она получила бы хороших пиздюлей. Истерика, шепотом орем друг на друга, перебиваем, потом мне стало пофиг (не мне ж огребать от ее темпераментной мамы). Сначала решили ковер перестелить чтобы дыра была под диваном (ага, в два часа ночи), потом закрасить черную дыру бежевым лаком, лака не хватило, потом белым корректором (!). Это было состояние аффекта. Затем она пыталась эту дыру оттереть тряпкой. Ну ё-мое.. Человек на столько не хотел огребать, что пытался оттереть прожженую дыру тряпкой! Короче, закончилось всё моей охуенно трезвой и адекватной идеей: мы подбрили немного ковер по разным сторонам и ворсинки приклеили клеем в эту дыру! Работа была ювелирная, брили ковер в полной тишине, клеили настолько аккуратно насколько это было возможно. После проделанной работы сделали вывод, что пылесосить дома будет только она. До сих пор никто не спалил, что ковер заклеенный почти по середине, знаем только мы.",0,-3,2,-1,0000c85e32--5eb3d7ac897e3969feb2862b,05f125d05374a6e042c60e5a4e0a1afe
,,,,,,
"С бывшим всегда, каждую ночь спали в обнимку, в нашей идеальной позе: абсолютно голая обнимаю его сзади, прижимаясь грудью к горячей спине и просовывая одну ногу между его, а другую кладу сверху. Если мы ненадолго отлеплялись друг от друга этот огромный качок обязательно просыпался и тоненьким таким голосочком просил: ""Анюта, обнимиии"". Два года одна. Кажется, уже никогда не смогу уснуть, прижавшись к кому-то... Отвыкла.   ",0,0,0,5,0000c85e32--5eb3d7ace62bd04473812070,ae71dad8da578d7971bc8eaec42fbb56
,,,,,,
"Вечер пятницы. Выпила пол бутылки мартини. Одна. То состояние, когда край как нужно кому нибудь позвонить. Сижу думаю кому. Бывших нет. Настоящих тоже нет. Пришлось звонить психологу.",0,0,0,3,0000c85e32--5eb3d7ace62bd04473812073,95f948ac094913913672c8132b124499
,,,,,,
"Мой муж — ""дитя асфальта"". Все его бабушки и дедушки жили в городах, мои же — из деревень, и я проводила там все каникулы, со всеми доступными удовольствиями вроде речки, сенокоса, свежих фруктов и ягод, походов за грибами... Сейчас в деревне бываем вместе, и недавно сосед, узнав, что муж никогда не ездил на телеге, предложил его прокатить. Эту неподдельную радость и детский восторг от поездки надо было видеть))   ",0,2,4,0,0000c85e32--5eb3d7ad9516ee0c1adabab2,f4972af8470176a62dfe65c6c6df41d4
,,,,,,
"Моя мать попросила отвезти их с подругой в аэропорт. Пока ехали за подругой, от маминых неуместных замечаний вроде ""тут нет поворота"", когда он есть, уже пухли уши. Приехали вовремя. Когда эта тетка села в машину, начала меня учить, где уступать дорогу, где поворотник налево включить, где повернуть, какая дорога ей нравится. Ёлы-палы! Пришлось остановиться и предложить этой даме штурвал, но она почему-то отказалась и еще сказала, что это — хамство. А садиться в чужую машину и трахать мозг — ни разу!   ",3,1,-1,0,0000c85e32--5eb3d7ae79c327160bc6e31d,9228c936264972485a309b7362b138fb
